,HCG,Name,RA,Dec,Vsys,M_type,T_type,sep_kpc,sep_norm,e_sepnorm,D25_am,D25_kpc,flux,logMHIobs,e_logMHIobs,logMHIexp,e_logMHIexp,defHI,e_defHI,OPT_HI,zflag,HIflag,MHIlim_flag,gmag,e_gmag,rmag,e_rmag,Btot,logLB,logMs,e_logMs
0,97,WISEA J234720.25-022225.9,356.834574,-2.374113,7247.0,S0a,0,94.850,0.160,0.004391379611734313,0.475,11.749,0.236,8.605,0.061,9.078,0.285,0.473,0.2915428509503059,2,1,1,0,17.537,0.003,17.254,0.004,17.174,8.941,8.685,0.012
1,97,LEDA 1092309,356.754094,-2.428923,7235.0,Sa,1,223.941,0.379,0.01036801861612172,0.446,11.017,0.368,8.798,0.061,8.279,0.57,-0.519,0.573299427821302,2,1,1,0,17.077,0.001,16.600,0.001,16.789,9.095,9.306,0.010
2,97,NSA 152646,356.848994,-2.169203,6457.0,S0,-2,211.798,0.358,0.009805799224991085,0.358,8.856,0.316,8.731,0.061,9.208,0.221,0.477,0.22937574836985772,2,1,1,0,17.754,0.002,17.323,0.003,17.448,8.831,8.962,0.011
3,97,NSA 152613,356.703514,-2.408113,6701.0,Sd,7,259.308,0.439,0.012005431641329584,0.360,8.911,0.174,8.473,0.061,9.151,0.221,0.677,0.22937574836985772,2,1,1,0,18.012,0.003,17.592,0.003,17.702,8.730,8.905,0.011
4,97,WISEA J234840.59-022144.1,357.169204,-2.362333,6674.0,Sab,2,479.588,0.811,0.02220393998099055,0.718,17.753,0.365,8.794,0.061,8.822,0.57,0.027,0.573299427821302,2,1,1,0,15.848,0.001,15.243,0.001,15.610,9.567,10.024,0.010
5,97,WISEA J234920.76-022329.2,357.336034,-2.391533,7434.0,Sa,1,730.614,1.236,0.03382591674888749,0.601,14.848,0.249,8.627,0.061,9.315,0.221,0.688,0.22937574836985772,2,1,1,0,17.455,0.002,16.964,0.002,17.172,8.942,9.127,0.011
6,97,WISEA J234528.37-021158.5,356.368204,-2.199393,6609.0,Sbc,4,732.909,1.240,0.033932208464443794,0.844,20.873,0.656,9.049,0.061,8.871,0.38,-0.178,0.38493146654986815,2,1,1,0,16.387,0.001,15.890,0.001,16.107,9.368,9.582,0.010
7,97,WISEA J234759.93-023431.4,356.999664,-2.575443,6974.5,Sa,1,449.718,0.761,0.02082103081961082,0.505,12.494,0.757,9.111,0.061,8.853,0.57,-0.258,0.573299427821302,2,1,1,0,15.710,0.001,15.166,0.000,15.449,9.631,9.977,0.010
8,97,WISEA J234731.71-022524.9,356.881524,-2.423653,6223.0,Sm,9,172.309,0.292,0.007977544703340332,0.455,11.255,0.373,8.804,0.061,9.222,0.221,0.419,0.22937574836985772,1,0,1,0,17.469,0.002,17.082,0.002,17.146,8.953,9.027,0.011
9,97,UM 177,356.582084,-2.155193,6505.0,Sc,5,459.751,0.778,0.021285528342777915,0.354,8.755,0.882,9.177,0.061,9.156,0.221,-0.021,0.22937574836985772,1,0,1,0,17.310,0.001,17.033,0.002,16.945,9.033,8.914,0.010
10,97,WISEA J234741.96-022952.2,356.924574,-2.498003,6491.0,Sbc,4,297.516,0.503,0.01377438483914323,0.292,7.220,0.137,8.369,0.061,8.967,0.285,0.597,0.2915428509503059,1,0,1,0,18.258,0.003,17.878,0.003,17.932,8.638,8.708,0.011
11,97,WISEA J234606.83-021248.9,356.528274,-2.213793,6626.0,Sm,9,498.110,0.843,0.023061452809162136,0.500,12.355,0.494,8.926,0.061,9.146,0.221,0.220,0.22937574836985772,1,0,1,0,17.671,0.002,17.330,0.003,17.331,8.879,8.835,0.011
12,97,WISEA J234701.65-022033.4,356.756234,-2.343023,6767.0,Im,10,145.879,0.247,0.006753904411821775,0.537,13.272,0.810,9.140,0.061,9.283,0.221,0.143,0.22937574836985772,1,0,1,0,17.436,0.003,16.986,0.003,17.137,8.956,9.168,0.011
13,97,WISEA J234446.64-020140.0,356.194234,-2.027763,6821.0,Sa,1,1059.114,1.792,0.04903480996077827,0.423,10.457,0.274,8.669,0.061,8.248,0.57,-0.421,0.573299427821302,1,0,1,0,17.115,0.001,16.677,0.001,16.811,9.086,9.239,0.010
14,97,WISEA J234808.62-023634.0,357.035794,-2.609413,6949.0,Sab,2,520.450,0.881,0.024095787706808463,0.504,12.470,0.757,9.111,0.061,9.251,0.221,0.140,0.22937574836985772,1,0,1,0,17.803,0.002,17.313,0.002,17.521,8.803,8.975,0.011
15,97,WISEA J234646.78-015151.0,356.694674,-1.864213,6926.0,Sd,7,702.851,1.189,0.032540583239538116,0.587,14.525,0.330,8.750,0.061,9.229,0.221,0.480,0.22937574836985772,1,0,1,0,17.641,0.002,17.210,0.003,17.335,8.877,8.977,0.011
16,97,WISEA J234714.35-015813.3,356.809694,-1.969813,6947.0,Sm,9,511.035,0.865,0.0236598521912046,0.399,9.870,0.253,8.634,0.061,9.057,0.3,0.422,0.3062225235678007,1,0,1,0,16.206,0.000,15.820,0.000,15.883,9.458,9.561,0.010
17,97,GALEXASC J234617.06-015255.0,356.570534,-1.882333,7012.0,Im,10,759.888,1.286,0.035181242328809106,0.247,6.110,0.135,8.362,0.061,8.484,0.285,0.122,0.2915428509503059,1,0,1,0,19.398,0.009,19.019,0.014,19.071,8.182,8.229,0.023
18,97,WISEA J234737.41-022422.4,356.905514,-2.406283,7051.0,Sm,9,162.616,0.275,0.007528778738355307,0.411,10.161,0.504,8.935,0.061,8.906,0.285,-0.029,0.2915428509503059,1,0,1,0,18.071,0.003,17.762,0.004,17.718,8.724,8.625,0.011
19,97,WISEA J234705.08-023423.8,356.770884,-2.573273,7194.0,Scd,6,404.835,0.685,0.018743050992884112,0.536,13.265,0.516,8.945,0.061,9.018,0.285,0.073,0.2915428509503059,1,0,1,0,18.233,0.004,17.833,0.004,17.915,8.645,8.652,0.012
20,97,GALEXASC J234535.72-021211.7,356.398634,-2.203413,7214.0,S0,-2,687.642,1.163,0.03183642035355213,0.632,15.615,0.260,8.647,0.061,9.293,0.221,0.646,0.22937574836985772,1,0,1,0,17.598,0.003,17.102,0.003,17.317,8.884,9.068,0.012
21,97,WISEA J234603.39-021824.5,356.513894,-2.306743,7171.0,Sab,2,497.702,0.842,0.02304257008180781,0.375,9.274,0.852,9.162,0.061,9.117,0.285,-0.045,0.2915428509503059,1,0,1,0,17.360,0.002,17.094,0.003,16.990,9.015,8.825,0.011
22,97,WISEA J234731.08-023340.4,356.879314,-2.561233,7320.0,S0,-2,372.404,0.630,0.017241545177808775,0.272,6.731,0.150,8.408,0.061,9.010,0.285,0.601,0.2915428509503059,1,0,1,0,17.985,0.002,17.641,0.002,17.645,8.753,8.699,0.011
23,97,WISEA J234750.99-023053.6,356.962524,-2.514933,7364.0,Sd,7,344.491,0.583,0.015949234565828276,0.398,9.842,0.200,8.532,0.061,8.981,0.285,0.449,0.2915428509503059,1,0,1,0,18.344,0.004,17.939,0.005,18.029,8.599,8.712,0.012
24,97,complex: MCG -01-60-040,357.015744,-2.413003,6379.0,Sb,3,288.284,0.488,0.013346967516742848,1.216,30.077,nan,nan,nan,9.309,0.38,nan,NaN,2,1,1,0,15.129,0.001,14.572,0.001,14.873,9.862,10.252,0.010
25,97,complex: MCG -01-60-041,357.047084,-2.432471,6682.0,Sa,1,342.980,0.580,0.015879291490111174,1.340,33.121,nan,nan,nan,nan,0.57,nan,NaN,2,1,1,0,14.035,13.043,0.277,0.000,18.926,8.240,10.926,0.010
26,97,all: MCG -01-60-040,357.015744,-2.413003,6379.0,NaN,NaN,288.284,0.488,0.013346967516742848,nan,nan,3.095,9.722,0.061,nan,0.6850547423381579,nan,0.6878024672391283,2,1,1,0,nan,nan,nan,nan,nan,nan,11.010,nan
27,97,core: HCG 97A,356.845826,-2.300561,6932.0,E1,-5,17.828,0.030,0.0008253845051323978,2.332,57.662,0.032,7.731,0.061,9.763,0.57,2.033,0.573299427821302,0,1,0,1,13.690,0.000,12.889,0.000,13.528,10.400,11.230,0.010
28,97,core: HCG 97B,356.907744,-2.316673,6820.0,Sa,1,86.454,0.146,0.004002658600286664,1.506,37.238,0.510,8.939,0.061,9.130,0.57,0.191,0.573299427821302,2,1,1,0,15.222,0.001,14.471,0.000,15.041,9.795,10.454,0.010
29,97,core: HCG 97C,356.849166,-2.351214,6002.5,SBd,7,58.226,0.099,0.0026957655610447737,1.187,29.361,0.032,7.735,0.061,9.604,0.3,1.869,0.3062225235678007,0,1,0,1,14.882,0.000,14.130,0.000,14.701,9.930,10.746,0.010
30,97,core: HCG 97D,356.828906,-2.313464,6327.5,SBa,1,30.770,0.052,0.0014246073188483824,1.650,40.800,0.032,7.731,0.061,9.579,0.57,1.848,0.573299427821302,0,1,0,1,13.811,0.000,13.349,0.000,13.517,10.404,10.559,0.010
31,97,core: HCG 97E,356.832811,-2.280779,6664.5,SB0,NaN,52.545,0.089,0.0024327238762094534,0.977,24.155,0.032,7.732,0.061,9.168,0.3,1.435,0.3062225235678007,0,1,0,1,16.241,0.001,15.477,0.000,16.066,9.385,10.148,0.010
32,97,core: total,356.849611,-2.311968,6579.0,NaN,NaN,0.000,0.000,0.0,nan,nan,0.637,9.036,0.137,10.216,1.0745696813143388,1.180,1.0833102832065986,2,1,1,0,nan,nan,nan,nan,nan,nan,11.483,nan
33,97,WISEA J234732.41-022229.7,356.884994,-2.374813,6879.0,E,-5,106.973,0.181,0.004952622289991209,0.210,5.187,0.032,7.738,0.061,9.177,0.221,1.439,0.22937574836985772,0,1,0,1,19.209,0.006,18.505,0.006,19.009,8.207,8.871,0.015
34,NaN,NaN,nan,nan,NaN,NaN,NaN,nan,nan,NaN,nan,nan,nan,nan,nan,nan,NaN,nan,NaN,NaN,NaN,NaN,NaN,nan,nan,nan,nan,nan,nan,nan,nan
35,NaN,NaN,nan,nan,NaN,NaN,NaN,nan,nan,NaN,nan,nan,nan,nan,nan,nan,NaN,nan,NaN,NaN,NaN,NaN,NaN,nan,nan,nan,nan,nan,nan,nan,nan
36,97,WISEA J234659.42-020811.6,356.747624,-2.136443,6459.0,S0,-2,301.104,0.509,0.0139404872322828,0.449,11.109,0.035,7.776,0.061,8.370,0.57,0.593,0.573299427821302,0,1,0,1,17.081,0.001,16.373,0.001,16.883,9.058,9.682,0.010
37,97,2MASX J23464481-0210169,356.686854,-2.171983,6894.0,E,-5,318.337,0.539,0.014738354111542368,0.586,14.489,0.036,7.783,0.061,8.907,0.57,1.123,0.573299427821302,0,1,0,1,15.865,0.001,15.030,0.001,15.716,9.524,10.455,0.010
38,97,2MFGC 17840,356.722324,-2.062813,6447.0,S0,-2,415.008,0.702,0.01921400536920965,0.738,18.241,0.039,7.818,0.061,8.468,0.57,0.650,0.573299427821302,0,1,0,1,16.917,0.001,16.127,0.001,16.751,9.110,9.842,0.010
39,97,WISEA J234718.75-015943.3,356.827944,-1.995373,6853.0,E,-5,470.775,0.796,0.021795908166589283,0.577,14.275,0.040,7.838,0.061,8.801,0.57,0.963,0.573299427821302,0,1,0,1,16.026,0.000,15.295,0.000,15.837,9.476,10.197,0.010
