ID,RA,DEC,g_auto,e_g_auto,r_auto,e_r_auto,radius,ab_ratio,i_auto,e_i_auto,PROB_GAL,zml,s2n_DET_auto
DR4_3_SPLUS-s21s31_0048802,331.84301130123845,-26.25355033956549,16.779190063476562,0.013002783060073853,16.081253051757812,0.00792671274393797,0.0010661770356819034,1.1778624057769775,15.718661308288574,0.008127897046506405,1.0,0.05324999988079071,204.70297241210938
DR4_3_SPLUS-s21s31_0049340,330.91481079003853,-26.227557996729967,17.94280242919922,0.024644624441862106,17.502696990966797,0.018667563796043396,0.0006800624541938305,1.6348503828048706,17.18772315979004,0.020591288805007935,0.99,0.04475000128149986,87.95967102050781
DR4_3_SPLUS-s21s31_0049770,331.17972815448746,-26.401480717623947,14.943706512451172,0.005505118053406477,14.388334274291992,0.003771658521145582,0.003884757636114955,3.0463058948516846,14.105210304260254,0.004262212198227644,0.97,0.023499999195337296,428.6920471191406
DR4_3_SPLUS-s21s31_0049816,330.808795792213,-26.401783935579928,17.306217193603516,0.018010156229138374,16.46990394592285,0.009649302810430527,0.0009665379766374826,1.3960458040237427,16.04660415649414,0.009790617972612381,1.0,0.08250000327825546,165.9769744873047
DR4_3_SPLUS-s21s31_0049832,330.8027315296781,-26.406812096073704,14.652793884277344,0.004157832358032465,14.017601013183594,0.002673146314918995,0.00282250321470201,1.6475080251693726,13.684490203857422,0.002898605540394783,1.0,0.032499998807907104,605.4100341796875
DR4_3_SPLUS-s21s31_0049956,331.5534761551001,-26.3954513768199,18.196603775024414,0.03075326420366764,17.73769187927246,0.023142807185649872,0.0007136977510526776,1.4760807752609253,17.53622055053711,0.02849878929555416,1.0,0.0585833340883255,69.6668701171875
DR4_3_SPLUS-s21s31_0050508,331.32641612895833,-26.385563074889777,12.579484939575195,0.07698289304971695,11.817956924438477,0.06535796076059341,0.0014354828745126724,1.0719859600067139,11.799668312072754,0.07908602058887482,1.0,0.005750000011175871,50.645965576171875
DR4_3_SPLUS-s21s31_0051065,330.7286227235137,-26.44857799458767,17.93094253540039,0.022607717663049698,16.948598861694336,0.010802564211189747,0.0006550067337229848,1.3270028829574585,16.558151245117188,0.011210584081709385,1.0,0.09724999964237213,143.46644592285156
DR4_3_SPLUS-s21s31_0051659,330.7027235859953,-26.527296414874943,17.87137222290039,0.060917459428310394,17.542278289794922,0.051065899431705475,0.0016079060733318329,1.736240267753601,17.431066513061523,0.07087850570678711,1.0,0.024000000208616257,30.99004554748535
DR4_3_SPLUS-s21s31_0053256,331.62527028088385,-26.46233750918172,18.531476974487305,0.027022428810596466,17.893014907836914,0.01741483062505722,0.0004338078433647752,1.155590534210205,17.515260696411133,0.017866225913167,0.95,0.06591666489839554,94.4535903930664
DR4_3_SPLUS-s21s31_0053851,331.9804430843825,-26.5439212783534,17.174394607543945,0.02018258161842823,16.498689651489258,0.012569335289299488,0.0010333897080272436,1.0703152418136597,16.132099151611328,0.013118389993906021,0.98,0.0808333307504654,129.259033203125
DR4_3_SPLUS-s21s31_0054456,331.9110376502746,-26.48263638733039,19.03841781616211,0.045406099408864975,18.23223114013672,0.025175297632813454,0.0005270772380754352,1.7216399908065796,17.876813888549805,0.02647232450544834,0.95,0.07408333569765091,62.81365966796875
DR4_3_SPLUS-s21s31_0054706,330.97733891250084,-26.296866189564856,17.412302017211914,0.019279848784208298,16.971290588378906,0.014512448571622372,0.0007845034706406295,1.1263190507888794,16.789722442626953,0.018134156242012978,1.0,0.054666668176651,110.04342651367188
DR4_3_SPLUS-s23s31_0027366,331.0931395895639,-29.460337581659765,16.970979690551758,0.01712845452129841,16.284236907958984,0.009298599325120449,0.0008990236674435437,1.4806654453277588,15.872444152832031,0.008726255036890507,1.0,0.07625000178813934,182.6692352294922
DR4_3_SPLUS-s23s31_0028305,331.0547123181997,-29.43208285787973,17.31051254272461,0.02176976390182972,16.776884078979492,0.013217346742749214,0.0006106093060225248,1.1706944704055786,16.439697265625,0.01333852019160986,1.0,0.06691666692495346,126.50638580322266
DR4_3_SPLUS-s23s31_0033889,330.9276978466491,-29.282906280106452,16.785768508911133,0.0230383463203907,15.977445602416992,0.010993147268891335,0.0009521977626718581,1.0750195980072021,15.505788803100586,0.01003752276301384,1.0,0.061000000685453415,154.27792358398438
DR4_3_SPLUS-s23s31_0033943,331.2739734245408,-29.280869432348936,16.3433837890625,0.01690390519797802,15.767476081848145,0.009989914484322071,0.0015293373726308346,1.5815147161483765,15.438762664794922,0.010272661224007607,0.98,0.05533333495259285,165.41964721679688
DR4_3_SPLUS-s23s31_0035969,330.67618536312835,-28.973336596558934,17.209125518798828,0.03315846994519234,16.652423858642578,0.019516291096806526,0.0011398248607292771,1.1743003129959106,16.3592586517334,0.0213924627751112,0.99,0.06141666695475578,83.23085021972656
DR4_3_SPLUS-s23s31_0036279,330.66493297845443,-28.98787564942411,14.88619613647461,0.008827590383589268,14.295312881469727,0.0050895982421934605,0.0025956351310014725,1.3957377672195435,14.016838073730469,0.005574676673859358,1.0,0.03533333167433739,315.0775451660156
DR4_3_SPLUS-s23s31_0037111,330.70968324154285,-28.9063283463705,17.976659774780273,0.034217510372400284,17.082958221435547,0.015369594097137451,0.0006806199671700597,1.5188815593719482,16.632768630981445,0.014258651994168758,1.0,0.0976666659116745,106.57217407226562
DR4_3_SPLUS-s23s31_0037344,330.90271009989516,-29.096688053205092,16.883420944213867,0.02079884521663189,16.010292053222656,0.00959462858736515,0.0012259705690667033,2.006021022796631,15.565357208251953,0.008984551765024662,1.0,0.07833333313465118,175.3841094970703
DR4_3_SPLUS-s23s31_0037347,331.05073482493265,-29.051146468988552,17.24825668334961,0.021851927042007446,16.481708526611328,0.011094310320913792,0.0006726289866492152,1.1302721500396729,16.06153678894043,0.010475252754986286,1.0,0.05375000089406967,152.13096618652344
DR4_3_SPLUS-s23s31_0038988,330.7668409672448,-29.062811810339962,17.363500595092773,0.028492070734500885,16.57577896118164,0.013959141448140144,0.0011970072519034147,2.0528385639190674,16.14430046081543,0.013328964821994305,1.0,0.0925000011920929,119.36380767822266
DR4_3_SPLUS-s23s31_0041940,330.7802679941367,-29.16842235170608,17.764760971069336,0.03597903251647949,17.284133911132812,0.022849222645163536,0.0010567264398559928,2.636345148086548,17.16345977783203,0.028880169615149498,1.0,0.02983333356678486,69.54470825195312
