ID,Name,RA,Dec,gmag,e_gmag,rmag,e_rmag,radius_r,ba_ratio,radius_g,logMstar,e_logMstar
WJ221040_274144,WISEA J221040.40-274144.2,332.66825,-27.69573,17.965322494506836,0.0281348563730716,17.537452697753906,0.019879225641489,0.066461570095266,0.32828525028292393,,8.718120572751415,0.04325288614989531
AP_B220902,APMUKS(BJ) B220902.13-282233.7,332.96841,-28.12878,16.02733612060547,0.0108152674511075,15.54144287109375,0.0066129118204116,0.17071658279746202,0.2555160416379328,,9.602979448026073,0.018434168474285674
WJ220732_274450,WISEA J220732.99-274450.6,331.88767,-27.74772,18.60007667541504,0.0463998168706893,18.146316528320312,0.0317456386983394,0.03585509606637,0.7121485623715171,,8.51315166253413,0.06940096299752863
ESO467_G016,ESO 467- G 016,332.45925,-27.53561,14.526571273803713,0.0031864901538938,13.87548828125,0.0023926892317831,0.13399589806794598,0.7338219001267999,,10.515494001096144,0.011121678363459083
WJ220835_274743,WISEA J220835.52-274743.6,332.14757,-27.79523,16.97209358215332,0.0167301949113607,16.696422576904297,0.0134409433230757,0.108471207786348,0.35120153043773,,8.827756421750438,0.02805583127864075
HCG91C,HCG 91C,332.30838,-27.78219,14.586774826049805,0.0053891157731413,14.059366226196287,0.0034795305691659,0.166721390560266,0.9212181645168924,,10.257667977994338,0.012704566639291735
WJ220834_281601,WISEA J220834.52-281601.1,332.14398,-28.26715,16.82221221923828,0.0223213396966457,16.393844604492188,0.01546411216259,0.08963329251855601,0.8349060171778321,,9.176305558865916,0.03464532258004419
IC5168,IC 5168,332.18975,-27.85647,15.306388854980469,0.0074074673466384,14.853099822998049,0.0050706923939287,0.234519923105832,0.33101544611002964,,9.829736383145699,0.014840605740249318
ESO467_G015,ESO 467- G 015,332.31779,-27.73033,14.75814151763916,0.003482197644189,14.015005111694336,0.0019497233442962,0.198351158760486,0.22240682312070045,,10.596846854871165,0.011125206385439762
ESO532_G022,ESO 532- G 022,332.29696,-27.16642,14.817051887512209,0.0077437162399291,14.362138748168944,0.0066678458824753,0.180526063777506,0.862107618133738,,10.028540733044998,0.01599330148159242
