,recno,HIPASS,RAJ2000,DEJ2000,TType,Dist,r_Dist,OMatch,VelHI,Spk,Sint,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,f_W3mag,e_W3mag,W4mag,e_W4mag,f_W4mag,R1iso,R2iso,R3iso,R4iso,ba,PA,W1-W2,e_W1-W2,W2-W3,e_W2-W3,W1-W2c,W2-W3c,logLW1,e_logLW1,logLW2,e_logLW2,logLW3,e_logLW3,logLW4,e_logLW4,logLW1in,e_logLW1in,W1flux,W2flux,w3PaH,w4dust,logM*,e_logM*,logMHI,e_logMHI,logSFR,e_logSFR,logSFE,e_logSFE,T16
2436,1973,J1315-34,198.84306,-34.79417,,28.18,1,1,1674.9,0.0415,4.2,10.81,0.01,10.66,0.02,6.91,10.0,0.02,4.32,0.02,10.0,43.08,,,,0.817,169.8,0.15,0.02,3.69,0.02,0.16,3.75,8.496,0.01,8.162,0.012,8.47,0.01,8.68,0.01,9.86,0.01,14.14,9.0,46.1,147.5,9.29,0.1,8.89,0.11,-0.34,0.06,-9.23,0.12,0
2437,1991,J1319-33,199.84262,-33.27849,4.0,28.36,1,1,1684.7,0.1044,11.4,12.78,0.02,12.72,0.04,10.94,0.0,0.25,,,,44.95,,,,0.71,114.0,0.06,0.04,1.78,0.25,0.06,1.79,7.715,0.011,7.342,0.02,6.73,0.11,,,9.07,0.02,2.31,1.34,0.82,,8.76,0.14,9.33,0.06,-1.71,0.1,-11.05,0.12,0
2438,2067,J1335-34,203.8597,-34.19027,5.0,109.3,1,1,7218.5,0.0448,5.4,12.44,0.01,12.28,0.03,8.67,10.0,0.04,6.85,0.1,10.0,28.94,,,,0.606,113.1,0.17,0.03,3.49,0.03,0.16,3.58,9.004,0.01,8.671,0.014,8.91,0.02,8.83,0.04,10.36,0.01,3.02,1.93,8.4,13.81,9.79,0.11,10.17,0.09,0.0,0.06,-10.17,0.12,0
2439,2045,J1329-34,202.3485,-34.2713,4.0,62.52,0,1,3627.2,0.0684,14.7,9.08,0.01,8.9,0.02,5.71,10.0,0.02,4.1,0.02,10.0,123.8,,,,0.33,134.1,0.18,0.02,3.15,0.02,0.17,3.21,9.877,0.01,9.55,0.012,9.63,0.01,9.47,0.01,11.24,0.01,69.02,44.66,135.26,182.22,10.62,0.1,10.12,0.06,0.57,0.08,-9.55,0.1,1
2440,2044,J1329-33,202.30797,-33.17384,5.0,22.89,0,1,2385.0,0.3236,71.1,8.39,0.01,8.3,0.02,5.12,10.0,0.02,3.12,0.04,10.0,187.23,,,,0.39,78.2,0.09,0.02,3.17,0.02,0.08,3.21,9.291,0.01,8.928,0.012,9.01,0.01,8.94,0.02,10.65,0.01,133.69,79.58,239.69,402.95,10.27,0.1,9.94,0.03,0.08,0.07,-9.86,0.07,1
2441,2073,J1337-32,204.36618,-33.00705,6.0,45.28,0,1,3765.7,0.0444,7.0,10.7,0.01,10.59,0.02,6.76,10.0,0.02,4.62,0.03,10.0,62.42,62.42,62.42,62.42,0.516,27.1,0.11,0.02,3.8,0.02,0.12,3.84,8.95,0.01,8.6,0.012,8.95,0.01,8.98,0.02,10.31,0.01,15.57,9.55,53.25,114.02,9.84,0.1,9.52,0.08,0.03,0.06,-9.49,0.1,1
2442,2059,J1333-32,203.3755,-32.72052,0.0,65.34,1,1,4234.4,0.0448,6.8,10.64,0.01,10.61,0.02,7.5,10.0,0.02,5.27,0.03,10.0,58.2,,,,0.418,29.6,0.03,0.02,3.05,0.02,0.04,3.09,9.285,0.01,8.906,0.012,8.93,0.02,9.04,0.01,10.64,0.01,16.17,9.27,24.7,62.67,10.36,0.1,9.83,0.08,0.02,0.06,-9.81,0.11,0
2443,2014,J1323-33,200.98526,-33.54329,5.0,69.95,1,2,4543.5,0.0336,3.6,14.23,0.04,14.09,0.1,14.55,0.0,1.02,,,,26.74,,,,0.637,56.1,0.14,0.1,,,0.14,,7.909,0.016,7.57,0.042,,,,,9.27,0.02,0.59,0.37,,,8.73,0.29,9.61,0.12,,,,,0
2444,2027,J1326-32,201.51891,-32.12917,9.0,39.13,1,1,2454.4,0.0441,4.7,12.02,0.01,11.86,0.03,9.99,10.0,0.12,8.05,0.34,0.0,58.78,54.08,54.08,54.08,0.345,82.1,0.16,0.03,1.86,0.11,0.16,2.08,8.297,0.01,7.963,0.014,7.52,0.05,7.44,0.14,9.66,0.01,4.63,2.95,2.67,4.38,9.09,0.11,9.23,0.1,-1.09,0.06,-10.32,0.12,0
2445,2037,J1328-31,202.10416,-31.85772,5.0,65.16,0,1,4401.0,0.0668,10.6,11.14,0.01,11.07,0.02,7.58,10.0,0.04,5.88,0.06,10.0,53.44,42.91,42.91,42.91,0.468,25.6,0.07,0.02,3.45,0.02,0.08,3.5,9.083,0.01,8.717,0.013,8.92,0.02,8.78,0.03,10.44,0.01,10.21,6.05,24.34,34.85,10.07,0.1,10.02,0.07,0.01,0.06,-10.01,0.09,1
