,recno,HIPASS,RAJ2000,DEJ2000,TType,Dist,r_Dist,OMatch,VelHI,Spk,Sint,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,f_W3mag,e_W3mag,W4mag,e_W4mag,f_W4mag,R1iso,R2iso,R3iso,R4iso,ba,PA,W1-W2,e_W1-W2,W2-W3,e_W2-W3,W1-W2c,W2-W3c,logLW1,e_logLW1,logLW2,e_logLW2,logLW3,e_logLW3,logLW4,e_logLW4,logLW1in,e_logLW1in,W1flux,W2flux,w3PaH,w4dust,logM*,e_logM*,logMHI,e_logMHI,logSFR,e_logSFR,logSFE,e_logSFE,T16
0,2321,J1500+01,225.00177,1.89124,3.0,28.96,0,1,1339.7,0.0461,12.9,8.09,0.01,8.02,0.02,5.09,10.0,0.02,3.33,0.02,10.0,164.71,131.16,93.78,93.78,0.615,167.1,0.07,0.02,2.86,0.02,0.07,2.89,9.609,0.01,9.241,0.012,9.18,0.02,9.08,0.01,10.97,0.01,173.79,102.14,221.87,347.4,10.62,0.1,9.4,0.06,0.21,0.07,-9.19,0.09,1
1,2341,J1507+01,226.78209,1.54419,3.0,39.53,1,1,2551.0,0.0966,17.2,7.8,0.01,7.84,0.02,5.35,10.0,0.04,3.85,0.08,10.0,181.1,150.24,150.24,150.24,0.829,168.9,-0.04,0.02,2.38,0.02,-0.04,2.53,9.996,0.01,9.583,0.012,9.34,0.03,9.16,0.03,11.36,0.01,227.11,120.59,174.14,225.7,11.29,0.1,9.8,0.05,0.34,0.07,-9.45,0.09,0
2,1,J0000-40,0.12283,-40.48444,4.0,42.14,1,1,3167.9,0.0664,12.0,11.28,0.01,11.31,0.02,8.45,10.0,0.05,6.14,0.08,10.0,63.88,,,,0.363,153.4,-0.03,0.02,2.78,0.03,-0.03,2.89,8.657,0.01,8.248,0.012,8.18,0.03,8.31,0.03,10.02,0.01,9.15,4.91,10.51,28.12,9.92,0.1,9.7,0.06,-0.57,0.06,-10.27,0.09,0
3,19,J0011-36,2.90451,-36.93702,6.8,24.15,1,2,1936.8,0.0936,11.6,12.99,0.02,13.08,0.06,11.05,0.0,0.26,8.76,0.7,0.0,56.79,,,,0.449,164.7,-0.09,0.06,2.04,0.26,-0.1,2.05,7.492,0.012,7.057,0.025,6.57,0.11,,,8.85,0.02,1.91,0.96,0.78,,8.81,0.18,9.2,0.06,-1.84,0.1,-11.04,0.12,0
4,24,J0014-35,3.53461,-35.61331,,43.62,1,1,3287.0,0.0453,5.1,13.38,0.02,13.43,0.05,10.41,10.0,0.17,10.08,0.66,0.0,28.45,,,,0.44,17.8,-0.04,0.04,1.63,0.16,-0.05,3.02,7.844,0.012,7.429,0.021,7.42,0.07,,,9.2,0.02,1.31,0.69,1.7,,9.15,0.15,9.35,0.1,-1.17,0.07,-10.52,0.12,0
5,3145,J2349-37,357.35156,-37.77407,10.0,5.54,1,1,647.2,0.1576,13.7,13.18,0.03,13.24,0.13,,,,,,,61.09,17.14,0.0,0.0,0.411,88.0,-0.06,0.13,,,-0.07,,6.142,0.014,5.719,0.054,,,,,7.5,0.02,1.62,0.84,,,7.46,0.35,7.99,0.06,,,,,0
6,3157,J2357-32,359.45728,-32.59102,6.0,3.87,0,1,226.8,1.7636,280.5,6.52,0.01,6.43,0.02,3.21,10.0,0.01,1.55,0.02,10.0,336.27,336.27,336.27,336.27,0.617,97.9,0.09,0.02,3.21,0.02,0.09,3.26,8.505,0.01,8.144,0.012,8.24,0.01,8.08,0.01,9.86,0.01,765.09,458.07,1444.95,1946.59,9.47,0.1,8.99,0.01,-0.52,0.05,-9.52,0.06,1
7,46,J0026-33,6.69315,-33.67722,4.0,30.91,0,1,1828.4,0.1121,17.9,10.9,0.01,10.86,0.02,8.11,10.0,0.07,6.01,0.09,0.0,78.83,64.45,64.45,64.45,0.387,119.2,0.04,0.02,2.52,0.04,0.04,2.72,8.541,0.01,8.161,0.012,8.02,0.03,8.07,0.04,9.9,0.01,13.04,7.47,13.58,30.02,9.62,0.1,9.6,0.05,-0.7,0.06,-10.3,0.08,1
8,53,J0030-33,7.5915,-33.24401,4.0,20.6,0,1,1588.9,0.4754,143.2,6.6,0.01,6.48,0.02,2.93,10.0,0.01,1.21,0.01,10.0,283.14,283.14,283.14,283.14,0.332,48.6,0.12,0.02,3.52,0.02,0.12,3.56,9.914,0.01,9.566,0.012,9.79,0.01,9.65,0.01,11.27,0.01,691.84,426.26,1812.08,2580.4,10.8,0.1,10.15,0.02,0.7,0.08,-9.45,0.08,1
9,43,J0024-32,5.97756,-32.53619,5.0,44.84,1,1,3378.5,0.0964,13.7,10.19,0.01,10.16,0.02,6.8,10.0,0.03,5.12,0.06,10.0,70.0,,,,0.897,79.6,0.02,0.02,3.27,0.02,0.02,3.33,9.146,0.01,8.759,0.012,8.89,0.02,8.8,0.03,10.51,0.01,24.95,14.03,47.38,76.27,10.28,0.1,9.81,0.06,-0.01,0.06,-9.82,0.09,0
10,64,J0033-32,8.28052,-32.25836,0.0,21.12,1,1,1736.9,0.0716,6.2,9.78,0.01,9.65,0.02,5.84,10.0,0.02,4.01,0.03,10.0,60.54,49.63,49.63,49.63,0.722,18.6,0.13,0.02,3.76,0.02,0.13,3.78,8.664,0.01,8.319,0.012,8.64,0.01,8.53,0.01,10.02,0.01,37.02,23.0,121.67,186.47,9.52,0.1,8.81,0.09,-0.21,0.06,-9.02,0.11,0
11,68,J0034-30a,8.54545,-30.77438,9.2,18.83,1,1,1582.3,0.2896,17.4,11.82,0.02,11.76,0.04,11.82,0.0,0.19,9.64,0.54,0.0,62.12,43.24,8.27,12.0,0.708,92.6,0.05,0.03,-0.05,0.19,0.05,-0.05,7.75,0.011,7.374,0.017,,,,,9.11,0.01,5.68,3.28,,,8.81,0.13,9.16,0.05,,,,,0
12,69,J0034-30b,8.63657,-30.01768,6.0,19.3,0,1,1546.3,0.061,7.3,11.5,0.01,11.48,0.03,8.9,10.0,0.12,8.77,0.34,0.0,46.51,39.17,17.45,17.45,0.699,122.7,0.02,0.02,1.45,0.06,0.02,2.58,7.899,0.01,7.511,0.014,7.3,0.05,6.48,0.14,9.26,0.01,7.63,4.28,6.66,1.97,9.04,0.11,8.81,0.08,-1.26,0.06,-10.07,0.1,1
13,67,J0034-27,8.56435,-27.8036,3.0,25.45,0,1,1572.3,0.2107,48.0,8.16,0.01,8.04,0.02,4.47,10.0,0.02,1.85,0.01,10.0,139.88,121.36,121.36,121.36,0.509,113.7,0.12,0.02,3.54,0.02,0.12,3.57,9.471,0.01,9.124,0.012,9.36,0.01,9.58,0.01,10.83,0.01,163.53,101.05,433.85,1417.74,10.34,0.1,9.86,0.03,0.35,0.07,-9.51,0.08,1
14,11,J0008-29,2.08693,-29.91521,4.5,20.52,0,1,1505.2,0.1058,15.2,11.31,0.01,11.24,0.03,9.3,10.0,0.19,6.64,0.18,0.0,85.35,70.53,70.53,70.53,0.27,29.7,0.07,0.02,1.81,0.09,0.07,1.95,8.026,0.01,7.657,0.013,7.14,0.08,7.46,0.07,9.38,0.01,9.03,5.31,4.02,16.88,9.03,0.11,9.18,0.06,-1.39,0.08,-10.57,0.1,1
15,42,J0023-27,5.76626,-27.92669,-5.0,17.96,1,1,1538.6,0.0525,6.8,13.57,0.03,13.61,0.06,13.84,0.0,0.75,9.14,0.28,0.0,29.09,,,,0.551,109.0,-0.05,0.05,-0.23,0.76,-0.05,,7.009,0.013,6.594,0.025,,,6.34,0.11,8.37,0.02,1.13,0.6,,1.66,8.32,0.18,8.71,0.08,,,,,0
16,50,J0028-27,7.07346,-27.98265,5.0,18.05,1,1,1542.1,0.0608,5.9,13.86,0.04,13.66,0.08,15.7,0.0,3.11,,,,34.89,22.93,6.0,0.0,0.471,124.7,0.2,0.08,,,0.2,,6.896,0.017,6.578,0.034,,,,,8.26,0.02,0.86,0.57,,,7.59,0.24,8.65,0.09,,,,,0
17,49,J0027-26,6.88655,-26.57195,9.0,17.23,1,1,1491.0,0.0776,6.2,14.04,0.03,14.07,0.07,14.02,0.0,0.92,10.47,1.09,0.0,24.64,,,,0.657,164.8,-0.03,0.07,0.05,0.92,-0.03,,6.782,0.014,6.373,0.03,,,,,8.14,0.02,0.73,0.39,,,8.05,0.21,8.64,0.09,,,,,0
18,3140,J2347-30,356.96548,-30.52203,5.0,26.79,0,1,2961.0,0.1729,40.4,8.56,0.01,8.48,0.02,5.28,10.0,0.01,3.48,0.02,10.0,141.97,116.85,116.85,116.85,0.657,24.9,0.07,0.02,3.22,0.02,0.07,3.22,9.357,0.01,8.988,0.012,9.07,0.01,8.97,0.01,10.72,0.01,113.56,66.67,203.04,320.06,10.37,0.1,9.83,0.03,0.13,0.07,-9.7,0.08,1
19,3086,J2323-29,350.94705,-29.38805,5.0,96.26,1,1,6911.0,0.0471,11.7,10.03,0.01,9.95,0.02,6.47,10.0,0.03,4.88,0.04,10.0,62.87,,,,0.777,158.3,0.08,0.02,3.4,0.02,0.08,3.48,9.855,0.01,9.491,0.012,9.68,0.02,9.54,0.02,11.21,0.01,27.66,16.43,64.36,91.94,10.84,0.1,10.4,0.06,0.61,0.08,-9.78,0.1,0
20,7,J0005-28,1.38381,-28.09944,1.0,6.19,1,1,726.1,0.1067,7.0,13.28,0.02,12.88,0.05,9.62,10.0,0.07,6.03,0.06,10.0,25.4,25.4,25.4,25.4,0.8,139.9,0.4,0.04,3.2,0.08,0.39,3.35,6.198,0.012,5.959,0.02,6.11,0.03,6.71,0.02,7.56,0.02,1.47,1.17,4.12,32.31,6.88,0.15,7.8,0.08,-2.2,0.06,-10.01,0.1,0
21,14,J0009-24,2.48408,-24.96425,5.0,8.43,0,1,550.2,0.3203,51.4,8.66,0.01,8.68,0.02,6.28,10.0,0.03,4.64,0.06,10.0,187.97,143.52,143.52,143.52,0.296,45.1,-0.02,0.02,2.44,0.02,-0.02,2.51,8.313,0.01,7.907,0.012,7.66,0.02,7.53,0.03,9.67,0.01,103.63,55.9,79.41,116.77,9.56,0.1,8.93,0.03,-0.98,0.05,-9.91,0.06,1
22,23,J0014-23,3.51773,-23.18171,7.0,2.28,2,1,465.3,1.4272,214.5,8.2,0.01,8.08,0.02,4.84,10.0,0.14,3.92,0.08,0.0,248.5,227.65,227.65,227.65,0.88,137.8,0.12,0.02,2.19,0.03,0.12,3.23,7.372,0.01,7.024,0.012,7.11,0.06,6.64,0.03,8.73,0.01,162.52,100.21,310.02,203.63,8.25,0.1,8.42,0.01,-1.41,0.07,-9.83,0.07,0
23,3147,J2352-25b,358.01724,-25.85976,5.0,40.13,1,1,3090.5,0.0452,6.4,13.28,0.02,13.26,0.06,10.73,0.0,0.18,7.58,0.31,0.0,36.64,,,,0.436,175.5,0.02,0.05,2.53,0.19,0.02,2.54,7.816,0.012,7.426,0.024,7.2,0.07,7.68,0.13,9.18,0.02,1.46,0.81,1.21,7.17,8.97,0.17,9.38,0.09,-1.35,0.08,-10.73,0.12,0
24,3151,J2355-23,358.81067,-23.83236,5.0,53.45,0,1,3930.2,0.034,6.2,11.27,0.01,11.24,0.02,8.12,10.0,0.03,6.43,0.09,10.0,58.72,,,,0.494,175.6,0.04,0.02,3.09,0.03,0.04,3.16,8.863,0.01,8.48,0.012,8.53,0.02,8.44,0.04,10.22,0.01,9.15,5.2,14.77,23.72,9.97,0.1,9.61,0.09,-0.29,0.06,-9.91,0.11,1
25,3144,J2349-22,357.46616,-22.54866,9.0,10.07,1,1,1019.7,0.0368,2.9,14.02,0.02,14.02,0.07,13.25,0.0,0.43,9.49,0.45,0.0,18.89,,,,0.651,77.1,0.0,0.07,0.77,0.44,0.0,,6.324,0.012,5.925,0.03,,,,,7.68,0.02,0.75,0.41,,,7.53,0.2,7.84,0.13,,,,,0
26,107,J0047-25,11.88844,-25.28827,5.0,3.82,0,1,258.8,2.9805,693.5,3.46,0.01,3.26,0.02,-0.57,10.0,0.01,-2.94,0.01,10.0,1268.04,1268.04,1268.04,1268.04,0.276,48.8,0.2,0.02,3.81,0.02,0.2,3.85,9.716,0.01,9.399,0.012,9.75,0.01,9.85,0.01,11.08,0.01,12744.22,8428.14,47776.88,118380.52,10.4,0.1,9.38,0.01,0.67,0.08,-8.71,0.08,1
27,129,J0057-24,14.33804,-24.37255,8.0,22.76,1,1,1867.0,0.0487,3.9,13.84,0.03,13.81,0.09,,,,11.99,4.57,0.0,33.31,,,,0.806,125.6,0.03,0.09,,,0.02,,7.106,0.015,6.718,0.039,,,,,8.47,0.02,0.88,0.5,,,8.24,0.27,8.68,0.11,,,,,0
28,61,J0032-25,8.1673,-25.60742,5.0,39.09,0,1,2931.3,0.0373,6.8,10.24,0.01,10.01,0.02,6.24,10.0,0.02,4.17,0.02,10.0,53.12,53.12,53.12,53.12,0.506,15.0,0.23,0.02,3.72,0.02,0.23,3.75,9.012,0.01,8.708,0.012,9.02,0.01,9.03,0.01,10.37,0.01,24.08,16.42,84.88,169.47,9.69,0.1,9.39,0.08,0.09,0.07,-9.29,0.11,1
29,71,J0035-25,8.94662,-25.37426,8.7,18.09,1,1,1552.0,0.2446,28.1,10.66,0.01,10.69,0.03,7.75,10.0,0.13,6.14,0.18,0.0,119.96,82.08,82.08,82.08,0.49,155.1,-0.03,0.02,2.51,0.06,-0.03,2.87,8.177,0.01,7.77,0.014,7.69,0.05,7.55,0.07,9.54,0.01,16.46,8.85,18.62,26.17,9.44,0.11,9.33,0.04,-0.95,0.06,-10.29,0.08,0
30,82,J0038-24,9.64149,-24.27408,5.0,50.17,1,1,3767.9,0.1663,10.3,10.01,0.01,9.91,0.02,6.31,10.0,0.02,4.38,0.05,10.0,60.31,,,,0.928,28.6,0.09,0.02,3.57,0.02,0.1,3.6,9.314,0.01,8.955,0.012,9.2,0.01,9.11,0.02,10.67,0.01,29.29,17.64,77.93,125.7,10.26,0.1,9.78,0.07,0.23,0.07,-9.55,0.1,0
31,60,J0031-22,7.84232,-22.76999,10.0,3.26,1,1,529.5,0.145,7.0,14.5,0.05,15.38,0.99,9.74,0.0,0.31,7.01,0.62,0.0,34.4,6.0,8.29,14.55,0.5,33.5,-0.88,0.99,5.64,1.02,,,5.166,0.023,,,5.49,0.13,,,6.52,0.03,0.49,,3.6,,6.36,1.27,7.24,0.08,-2.69,0.12,-9.93,0.14,0
32,78,J0037-22,9.30665,-22.587,4.0,49.65,0,1,3052.3,0.0903,14.8,10.87,0.01,10.8,0.02,7.96,10.0,0.03,5.97,0.09,10.0,69.72,,,,0.331,12.2,0.07,0.02,2.85,0.03,0.07,2.91,8.962,0.01,8.591,0.012,8.53,0.02,8.53,0.04,10.32,0.01,13.3,7.79,17.18,33.28,9.98,0.1,9.93,0.06,-0.29,0.06,-10.22,0.08,1
33,96,J0043-22,10.76619,-22.24515,9.7,5.11,,1,360.7,0.1319,6.1,12.35,0.02,12.24,0.04,,,,9.36,1.19,0.0,70.27,54.02,54.02,54.02,0.366,2.0,0.1,0.04,,,0.1,,6.404,0.011,6.048,0.019,,,,,7.76,0.02,3.48,2.1,,,7.34,0.14,7.57,0.09,,,,,0
34,99,J0045-20,11.49088,-20.60886,3.0,53.98,1,1,4035.7,0.0377,4.0,12.24,0.01,12.2,0.04,8.95,10.0,0.09,6.19,0.16,10.0,37.86,,,,0.7,126.5,0.03,0.03,3.04,0.06,0.06,3.14,8.48,0.011,8.108,0.016,8.16,0.04,8.24,0.06,9.84,0.01,3.72,2.16,6.08,14.59,9.52,0.12,9.43,0.11,-0.59,0.06,-10.02,0.13,0
35,91,J0041-21,10.36324,-21.04476,-2.0,17.83,1,1,1579.7,0.1044,17.9,10.31,0.01,10.22,0.02,7.39,10.0,0.03,5.15,0.05,10.0,84.36,64.03,64.03,64.03,0.388,26.7,0.09,0.02,2.86,0.02,0.08,2.9,8.307,0.01,7.944,0.012,7.89,0.02,7.95,0.02,9.67,0.01,22.83,13.59,29.91,68.65,9.28,0.1,9.13,0.05,-0.8,0.05,-9.93,0.07,0
36,136,J0059-20,14.82679,-20.57884,8.0,43.67,0,1,1963.5,0.0644,8.1,13.1,0.02,13.02,0.05,13.35,0.0,0.48,9.99,0.62,0.0,31.52,23.33,6.0,12.0,0.661,82.0,0.07,0.04,-0.33,0.48,0.06,,7.961,0.012,7.59,0.021,,,,,9.32,0.02,1.72,1.0,,,8.98,0.16,9.56,0.08,,,,,1
37,126,J0055-19,13.76317,-19.00597,4.0,88.63,1,1,6394.4,0.0362,9.8,9.92,0.01,9.9,0.02,7.05,10.0,0.03,5.27,0.09,10.0,66.14,,,,0.703,175.4,0.02,0.02,2.79,0.02,0.01,2.89,9.833,0.01,9.439,0.012,9.37,0.02,9.28,0.04,11.19,0.01,31.05,17.22,36.91,59.49,11.0,0.1,10.25,0.07,0.37,0.07,-9.88,0.1,0
38,135,J0059-18,14.74168,-18.74258,4.0,31.04,0,1,2013.0,0.0836,13.7,9.63,0.01,9.6,0.02,6.84,10.0,0.03,5.24,0.07,10.0,111.03,91.75,91.75,91.75,0.456,23.4,0.03,0.02,2.73,0.02,0.03,2.81,9.053,0.01,8.67,0.012,8.57,0.02,8.38,0.03,10.41,0.01,42.04,23.86,47.35,60.08,10.16,0.1,9.49,0.06,-0.27,0.06,-9.76,0.08,1
39,151,J0105-17,16.28708,-17.75921,3.0,86.2,1,1,6225.1,0.04,7.8,10.82,0.01,10.75,0.02,7.44,10.0,0.03,6.0,0.08,10.0,44.33,,,,0.807,59.0,0.07,0.02,3.19,0.02,0.07,3.28,9.448,0.01,9.078,0.012,9.18,0.02,8.96,0.03,10.81,0.01,13.52,7.92,25.39,30.13,10.47,0.1,10.13,0.08,0.22,0.07,-9.91,0.1,0
40,28,J0015-22,3.96208,-22.91963,,40.74,1,1,3136.0,0.0571,4.3,14.15,0.03,14.14,0.11,14.11,0.0,0.94,11.69,2.69,0.0,28.57,,,,0.474,173.0,0.02,0.11,0.02,0.95,0.01,,7.479,0.015,7.086,0.046,,,,,8.84,0.02,0.65,0.36,,,8.65,0.31,9.22,0.11,,,,,0
41,33,J0019-22,4.79753,-22.66764,10.0,5.2,1,1,669.9,0.1659,15.8,12.94,0.02,12.93,0.05,11.3,0.0,0.31,11.06,3.7,0.0,31.46,20.8,20.8,20.8,0.77,149.4,0.0,0.04,1.64,0.31,0.0,1.64,6.183,0.012,5.787,0.02,5.07,0.13,,,7.54,0.02,2.02,1.11,0.54,,7.37,0.15,8.0,0.05,-3.02,0.13,-11.02,0.14,0
42,70,J0035-20,8.91447,-20.12531,3.0,42.88,1,1,3280.4,0.1137,20.2,10.36,0.01,10.36,0.02,7.53,10.0,0.04,6.14,0.09,10.0,67.44,,,,0.455,153.0,0.01,0.02,2.77,0.03,0.0,2.87,9.036,0.01,8.642,0.012,8.56,0.02,8.38,0.04,10.4,0.01,21.19,11.73,24.65,32.07,10.21,0.1,9.94,0.05,-0.27,0.06,-10.21,0.08,0
43,77,J0037-19,9.33969,-19.93424,2.0,58.05,0,1,3883.6,0.0537,6.8,9.08,0.01,9.08,0.02,6.35,10.0,0.04,4.88,0.07,10.0,78.58,,,,0.964,97.8,0.0,0.02,2.52,0.02,0.0,2.64,9.811,0.01,9.412,0.012,9.23,0.02,9.1,0.03,11.17,0.01,68.75,37.7,62.03,92.14,11.01,0.1,9.73,0.08,0.25,0.07,-9.47,0.11,1
44,30,J0018-19,4.70168,-19.0073,8.7,41.57,1,1,3199.6,0.0791,5.3,13.72,0.03,13.88,0.08,13.52,0.0,0.63,9.9,0.65,0.0,22.08,16.52,6.0,12.0,0.66,172.4,-0.16,0.07,0.37,0.63,-0.13,,7.658,0.016,7.209,0.033,,,,,9.02,0.02,0.94,0.46,,,8.97,0.23,9.33,0.1,,,,,0
45,17,J0010-18,2.57231,-18.26425,10.0,17.53,1,1,1545.2,0.223,7.8,12.92,0.02,13.04,0.06,12.1,0.0,0.89,9.16,0.73,0.0,53.01,,,,0.438,172.5,-0.12,0.05,0.94,0.89,-0.12,,7.247,0.012,6.802,0.024,,,,,8.61,0.02,2.06,1.01,,,8.56,0.17,8.75,0.08,,,,,0
46,29,J0017-18,4.44081,-18.01407,5.0,107.34,1,1,7682.3,0.0352,4.3,11.4,0.01,11.26,0.02,7.62,10.0,0.04,5.67,0.08,10.0,41.45,,,,0.761,104.8,0.13,0.02,3.6,0.03,0.13,3.69,9.406,0.01,9.061,0.013,9.35,0.02,9.29,0.03,10.77,0.01,7.93,4.91,23.86,41.06,10.27,0.1,10.06,0.11,0.35,0.07,-9.71,0.13,0
47,92,J0042-18,10.56151,-18.16153,5.0,28.31,0,1,1558.6,0.1171,17.6,11.6,0.01,11.47,0.03,9.06,10.0,0.1,7.4,0.26,0.0,79.08,74.25,74.25,74.25,0.2,73.3,0.14,0.02,2.29,0.07,0.13,2.62,8.185,0.01,7.841,0.014,7.66,0.04,7.42,0.1,9.54,0.01,6.85,4.26,7.04,8.08,9.04,0.11,9.52,0.05,-0.98,0.06,-10.5,0.08,1
48,120,J0052-16,13.00244,-16.40634,4.0,86.6,1,1,6265.2,0.0658,3.4,11.3,0.01,11.23,0.02,7.54,10.0,0.03,5.8,0.07,10.0,37.42,,,,0.883,1.9,0.07,0.02,3.58,0.03,0.07,3.65,9.26,0.01,8.893,0.013,9.16,0.02,9.08,0.03,10.62,0.01,8.69,5.13,23.8,39.51,10.26,0.1,9.77,0.12,0.2,0.07,-9.57,0.14,0
49,81,J0038-17,9.59338,-17.95255,,85.13,1,1,6171.4,0.0429,2.6,12.64,0.01,12.54,0.04,8.92,10.0,0.05,5.19,0.14,10.0,26.82,,,,0.691,112.3,0.1,0.03,3.49,0.06,0.1,3.65,8.708,0.01,8.353,0.017,8.62,0.02,8.74,0.06,10.07,0.01,2.53,1.53,7.1,18.29,9.64,0.13,9.64,0.14,-0.22,0.06,-9.86,0.15,0
50,90,J0041-16,10.43954,-16.86063,4.0,17.83,1,1,1554.8,0.0828,9.9,11.34,0.01,11.4,0.03,8.79,10.0,0.13,8.35,0.31,0.0,60.66,44.96,22.04,22.04,0.69,169.6,-0.06,0.02,1.62,0.06,-0.06,2.16,7.896,0.01,7.473,0.014,7.05,0.06,6.59,0.13,9.26,0.01,8.87,4.6,4.35,3.0,9.21,0.11,8.87,0.07,-1.46,0.07,-10.33,0.1,0
51,98,J0045-15,11.44331,-15.59673,-2.0,8.99,1,1,941.6,0.0851,5.0,10.85,0.01,10.81,0.02,8.08,10.0,0.04,5.83,0.07,10.0,40.76,33.24,33.24,33.24,1.0,23.3,0.04,0.02,2.71,0.03,0.04,2.76,7.493,0.01,7.112,0.012,6.99,0.02,7.09,0.03,8.85,0.01,13.79,7.88,14.9,37.44,8.58,0.1,7.98,0.1,-1.51,0.05,-9.49,0.11,0
52,133,J0058-15,14.58239,-15.39188,2.0,95.06,0,1,5550.2,0.053,10.7,10.57,0.01,10.57,0.02,8.5,10.0,0.05,7.5,0.16,0.0,63.47,,,,0.601,62.8,0.0,0.02,1.71,0.03,-0.02,1.93,9.632,0.01,9.227,0.012,8.68,0.04,8.37,0.07,10.99,0.01,17.0,9.17,6.59,6.27,10.88,0.1,10.35,0.07,-0.18,0.07,-10.52,0.1,1
53,85,J0039-14b,9.91965,-14.23708,1.0,52.84,1,1,3975.6,0.0453,8.9,10.91,0.01,10.77,0.02,6.88,10.0,0.03,5.0,0.04,10.0,37.4,,,,0.661,89.9,0.13,0.02,3.82,0.02,0.14,3.87,8.998,0.01,8.66,0.012,9.02,0.01,8.97,0.02,10.36,0.01,12.77,8.05,46.22,82.16,9.82,0.1,9.76,0.07,0.09,0.07,-9.67,0.1,0
54,84,J0039-14a,9.785,-14.17275,9.0,16.28,1,1,1454.4,0.3103,25.4,10.53,0.01,10.44,0.02,7.36,10.0,0.03,4.62,0.04,10.0,59.57,49.83,49.83,49.83,0.635,6.5,0.08,0.02,3.06,0.02,0.09,3.11,8.14,0.01,7.777,0.012,7.81,0.02,8.13,0.02,9.5,0.01,18.66,11.12,30.26,122.85,9.11,0.1,9.2,0.04,-0.86,0.05,-10.06,0.07,0
55,87,J0040-13,10.14583,-13.87286,3.0,20.69,0,1,1628.3,0.3495,70.3,7.98,0.01,8.01,0.02,5.53,10.0,0.05,3.9,0.1,10.0,165.23,141.1,141.1,141.1,0.649,166.0,-0.03,0.02,2.51,0.02,-0.03,2.62,9.367,0.01,8.958,0.012,8.76,0.03,8.52,0.04,10.73,0.01,194.83,104.33,167.63,187.11,10.64,0.1,9.85,0.03,-0.11,0.06,-9.96,0.07,1
56,45,J0025-14,6.37335,-14.55372,7.0,44.36,1,2,3402.8,0.0617,11.0,12.8,0.01,12.83,0.04,10.32,10.0,0.16,8.57,0.53,0.0,53.26,,,,0.288,81.4,-0.03,0.04,2.13,0.19,-0.04,2.39,8.094,0.011,7.681,0.018,7.37,0.07,,,9.45,0.01,2.26,1.2,1.49,,9.38,0.13,9.7,0.07,-1.21,0.07,-10.91,0.1,0
57,103,J0046-13,11.60099,-13.44233,-2.0,20.13,1,1,1720.3,0.0552,7.2,9.92,0.01,9.8,0.02,6.26,10.0,0.02,4.16,0.03,10.0,55.27,43.28,43.28,43.28,0.897,27.5,0.12,0.02,3.52,0.02,0.12,3.53,8.566,0.01,8.219,0.012,8.44,0.01,8.45,0.02,9.93,0.01,32.55,20.11,83.33,168.12,9.44,0.1,8.84,0.08,-0.37,0.06,-9.2,0.1,0
58,106,J0047-11,11.94683,-11.4686,4.0,18.18,1,1,1586.2,0.3026,43.0,9.52,0.01,9.46,0.02,5.97,10.0,0.03,4.15,0.04,10.0,85.25,65.43,65.43,65.43,0.876,163.3,0.06,0.02,3.38,0.02,0.06,3.43,8.64,0.01,8.268,0.012,8.44,0.02,8.38,0.02,10.0,0.01,47.3,27.57,103.4,175.52,9.67,0.1,9.52,0.03,-0.37,0.06,-9.89,0.07,0
59,102,J0046-11,11.51637,-11.50498,9.0,18.57,1,1,1614.3,0.1834,17.3,12.44,0.02,12.3,0.05,9.95,0.0,0.15,7.5,0.34,0.0,73.0,53.2,53.2,53.2,0.353,102.8,0.14,0.04,2.35,0.15,0.14,2.35,7.489,0.011,7.147,0.02,6.84,0.06,7.04,0.14,8.85,0.02,3.2,2.0,2.46,7.69,8.33,0.15,9.15,0.05,-1.63,0.07,-10.77,0.09,0
60,3126,J2339-22,354.95969,-22.75653,,110.46,1,1,7888.3,0.0423,11.1,11.27,0.01,10.96,0.02,6.7,10.0,0.02,3.78,0.01,10.0,27.24,,,,0.92,85.0,0.31,0.02,4.19,0.02,0.3,4.28,9.486,0.01,9.209,0.012,9.74,0.01,10.1,0.01,10.84,0.01,8.98,6.52,55.9,249.54,10.17,0.1,10.49,0.07,0.66,0.08,-9.84,0.1,0
61,3115,J2336-21,354.15225,-21.86181,7.0,17.57,1,1,1548.3,0.0493,4.8,14.82,0.05,14.48,0.15,,,,,,,23.54,16.11,6.0,0.0,0.5,99.5,0.34,0.14,,,0.34,,6.489,0.023,6.229,0.059,,,,,7.85,0.03,0.36,0.27,,,7.17,0.41,8.54,0.1,,,,,0
62,3139,J2346-19,356.53781,-19.35991,10.0,20.95,1,1,1786.9,0.1141,13.3,13.02,0.02,13.01,0.06,14.2,0.0,0.85,9.64,0.43,0.0,34.89,,,,0.489,37.1,0.01,0.05,-1.14,0.85,0.01,,7.362,0.012,6.968,0.024,,,,,8.72,0.02,1.88,1.04,,,8.53,0.17,9.14,0.06,,,,,0
63,3090,J2326-17,351.5834,-17.95617,1.0,43.23,0,1,2873.4,0.0706,12.8,11.21,0.01,11.09,0.02,7.51,10.0,0.03,5.31,0.04,10.0,44.53,36.46,36.46,36.46,0.686,34.7,0.12,0.02,3.49,0.03,0.12,3.55,8.708,0.01,8.357,0.013,8.58,0.02,8.64,0.02,10.07,0.01,9.78,5.99,25.33,56.61,9.61,0.1,9.75,0.06,-0.25,0.06,-10.0,0.09,1
