,recno,HCG,m_HCG,RAB1950,DEB1950,a,b,MType,T,morph,RVhel,e_RVhel,q_RVhel,Bmag,q_Bmag,DBmag,Rmag,q_Rmag,DRmag,B-R,BTmag,BTc,e_BTmag,MB-5log(h),Names
90,91,21,c,40.64183333333333,-17.87022222222222,29.2,26.8,E1,0,,7356,31,0,14.88,3,50.6,12.66,3,95.3,1.62,14.34,14.1,0.2,-20.2,
91,92,21,d,40.79133333333333,-17.752638888888885,18.0,15.0,E2,0,,8835,48,0,15.96,3,30.6,14.17,3,44.6,1.62,15.42,15.18,0.2,-19.6,
92,93,21,e,40.761916666666664,-17.743611111111107,17.4,14.7,SB0a,2,,8843,61,0,16.34,3,28.8,14.58,3,39.6,1.62,16.1,15.81,0.2,-18.9,
93,94,22,a,45.32591666666666,-15.808444444444442,79.8,62.5,E2,0,m,2705,22,0,12.78,0,111.2,10.95,0,172.2,1.62,12.49,12.24,0.13,,N1199
94,95,22,b,45.27479166666666,-15.856805555555553,30.6,12.4,Sa,3,,2625,38,0,15.32,0,38.4,13.64,0,57.5,1.52,15.04,14.47,0.1,,
95,96,22,c,45.266749999999995,-15.818277777777775,52.2,47.3,SBcd,8,,2728,60,0,14.55,0,81.4,13.19,0,99.0,1.2,14.2,13.9,0.7,,
96,97,22,d,45.294708333333325,-15.880499999999998,23.3,15.7,E3,0,,9342,45,0,15.6,1,34.3,13.7,1,55.4,1.71,15.22,14.97,0.2,,
97,98,22,e,45.31049999999999,-15.873694444444443,25.8,13.0,E5,0,,9506,49,0,15.68,1,31.5,13.84,1,49.7,1.65,15.37,15.12,0.2,,
98,99,23,a,46.12649999999999,-9.735972222222221,37.2,11.9,Sab,4,m,4798,37,0,15.13,3,36.7,13.45,3,50.1,1.59,14.96,14.32,0.2,-19.1,N1214
99,100,23,b,46.18362499999999,-9.785027777777776,46.1,28.7,SBc,7,m,4921,30,0,15.14,3,48.7,13.41,3,64.4,1.59,14.83,14.42,0.2,-19.0,N1215
100,101,23,c,46.22087499999999,-9.80486111111111,23.2,6.8,S0,1,m,5016,97,0,16.0,3,19.4,13.67,3,32.3,2.25,15.98,15.52,0.2,-18.0,N1216
101,102,23,d,46.124083333333324,-9.821444444444444,19.3,15.2,Sd,9,m,4562,54,0,16.66,3,26.7,15.19,3,35.1,1.28,16.3,16.0,0.5,-17.3,
102,103,23,e,46.18724999999999,-9.769166666666665,12.1,5.5,Sm,11,,10150,60,0,17.77,3,15.6,16.09,3,21.0,1.52,17.59,17.03,0.2,,
103,104,24,a,49.46424999999999,-11.043055555555554,18.7,17.7,S0,1,,9248,41,0,15.89,1,34.0,13.81,1,63.2,1.69,15.51,15.23,0.2,-19.6,
104,105,24,b,49.49558333333333,-11.047083333333331,22.6,16.7,SBa,3,m,9137,44,0,15.6,0,38.7,13.94,0,48.9,1.54,15.26,14.89,0.2,-19.9,
105,106,24,c,49.453958333333325,-11.043166666666664,12.0,8.3,SB0,1,,9283,109,0,17.26,1,19.6,15.35,1,30.9,1.61,16.93,16.6,0.2,-18.2,
106,107,24,d,49.484333333333325,-11.037888888888887,6.5,4.7,S0a,2,,8779,61,0,17.95,0,11.0,16.25,0,16.0,1.61,17.83,17.46,0.1,-17.3,
107,108,24,e,49.47629166666666,-11.046972222222221,4.7,4.6,E0,0,,9323,61,0,18.3,1,9.5,16.45,1,14.5,1.63,17.91,17.64,0.2,-17.2,
108,109,25,a,49.54362499999999,-1.2888333333333333,38.4,17.5,SBc,7,m,6285,30,0,14.7,0,51.1,13.63,0,54.3,1.05,14.39,13.86,0.1,-20.2,U2690
109,110,25,b,49.55358333333333,-1.2243055555555553,29.0,19.1,SBa,3,m,6408,35,0,15.15,1,41.2,12.33,1,54.5,1.75,14.85,14.45,0.2,-19.6,U2691a
110,111,25,c,49.54404166666666,-1.1820277777777777,22.3,8.8,Sb,5,,10864,61,0,16.1,1,23.9,14.6,1,27.9,1.46,15.93,15.35,0.2,,
111,112,25,d,49.52529166666666,-1.2149444444444444,9.8,7.0,S0,1,m,6401,36,0,16.36,0,16.6,14.58,0,21.0,1.46,16.24,15.92,0.1,-18.1,
112,113,25,e,49.54183333333333,-1.1860277777777777,9.3,8.7,Sdm,10,,10965,38,0,16.67,1,17.0,15.38,1,19.3,1.25,16.17,15.89,0.2,,
