,HCG,member,logMHI
0,16,16B,8.939888951301738
1,16,16A,8.746008193726384
2,16,16C,9.5786163380788
3,16,16D,9.551859896702178
4,16,NGC0848,9.598250411947928
5,16,total,10.105379539945023
