,HCG,Name,RA,Dec,Vsys,sep_kpc,sep_norm,D25_am,D25_kpc,logMHIobs,logMHIexp,defHI,OPT_HI,zflag,HIflag,MHIlim_flag
0,97,WISEA J234720.25-022225.9,356.83416666666665,-2.3736111111111113,7247.0,72.64819236486316,0.2830625509528181,0.40738029122270764,10.072680468556939,8.72034422069248,9.025696517889141,0.3053522971966611,2,1,1,0
1,97,IC 5359,356.90749999999997,-2.3180555555555555,6820.0,92.52174971034351,0.3604968222759898,1.1748976968382538,29.04993034389474,9.05427085335861,9.816896583501935,0.7626257301433252,2,1,1,0
2,97,APMUKS(BJ) B234426.86-024222.0,356.75333333333333,-2.4283333333333332,7250.0,204.33331435187912,0.796153452994397,0.42657951411792816,10.547390810796932,8.889859847360231,9.060096485082745,0.17023663772251396,2,1,1,0
3,97,APMUKS(BJ) B234449.65-022647.1,356.82166666666666,-2.186111111111111,6441.0,210.52298812063867,0.8202705685001944,0.31622776601683794,7.81888891289508,,8.836496493284344,,2,1,0,0
4,97,APMUKS(BJ) B234414.74-024107.0,356.7029166666666,-2.4074999999999998,6684.0,243.61007425166778,0.9491893302610791,0.31622776601683794,7.81888891289508,8.609854024161164,8.836496493284344,0.22664246912317942,2,1,1,0
5,97,WISEA J234840.59-022144.1,357.1691666666666,-2.3622222222222224,6674.0,482.63646463884623,1.8805190386209374,0.724435983937001,17.912040281136015,8.872221058704556,9.455696517889141,0.5834754591845854,2,1,1,0
6,97,MCG -01-60-043,357.25541666666663,-2.290833333333333,6583.0,609.7314851106036,2.3757253133683354,0.8511380522200855,21.04481198369023,,9.576096505586742,,2,1,0,0
7,97,WISEA J234528.37-021158.5,356.3683333333333,-2.199444444444444,6609.0,731.9570906326062,2.8519586588182944,0.6918309291408585,17.105864072572718,9.14560677992875,9.421296448175548,0.2756896682467982,2,1,1,0
8,97,WISEA J234731.71-022524.9,356.86375,-2.4180555555555556,6609.0,139.20923753705162,0.5424074654952201,0.28183828539027933,6.968591887500725,,8.750496472780346,,1,0,0,0
9,97,UM 177,356.5825,-2.1552777777777776,6609.0,465.01777774524953,1.8118705245396352,0.28183828539027933,6.968591887500725,,8.750496472780346,,1,0,0,0
10,97,WISEA J234741.96-022952.2,356.9245833333333,-2.4980555555555557,6609.0,280.83594691446336,1.094234239629975,0.2454708834830003,6.069389773956772,,8.750496472780346,,1,0,0,0
11,97,WISEA J234606.83-021248.9,356.5279166666666,-2.213888888888889,6609.0,499.41146154053956,1.9458802439124752,0.4570882172173791,11.301733680228589,,8.750496472780346,,1,0,0,0
12,97,WISEA J234826.41-023323.4,357.08875,-2.5524999999999998,6609.0,492.7606220055598,1.9199662666548691,0.5888436294945624,14.559451828271085,,8.750496472780346,,1,0,0,0
13,97,WISEA J234701.65-022033.4,356.75624,-2.34302,6609.0,134.83154096505552,0.5253504415194117,,,,8.750496472780346,,1,0,0,0
14,97,WISEA J234655.21-025137.1,356.72986,-2.86033,6609.0,811.0515631360827,3.1601381526817915,,,,,,1,0,0,0
15,97,WISEA J234446.64-020140.0,356.1941666666666,-2.0277777777777777,6609.0,1062.2215253921352,4.138783428284104,0.33884413381700146,8.378089863747826,,,,1,0,0,0
16,97,WISEA J234808.62-023634.0,357.0358333333333,-2.6094444444444447,6609.0,506.2985059041072,1.9727145570951874,0.4677351592615746,11.564984621643912,,,,1,0,0,0
17,97,WISEA J234646.78-015151.0,356.69458333333324,-1.8641666666666667,6609.0,720.777538097558,2.808399245210471,0.4677351592615746,11.564984621643912,,,,1,0,0,0
18,97,WISEA J234714.35-015813.3,356.8279166666667,-1.995277777777778,6609.0,491.32053468331117,1.9143551870428228,0.4168693880473867,10.30730311061779,,9.042896501485943,,1,0,0,0
19,97,GALEXASC J234617.06-015255.0,356.57054,-1.88233,6609.0,774.2609487045158,3.0167891603239636,,,,9.042896501485943,,1,0,0,0
20,97,WISEA J234737.41-022422.4,356.88124999999997,-2.4233333333333333,6609.0,153.78113963994048,0.5991846494444442,0.30902955003738913,7.640909439987759,,9.042896501485943,,1,0,0,0
21,97,WISEA J234705.08-023423.8,356.77125,-2.5733333333333333,6609.0,383.1273120408235,1.492796871549195,0.489778816679663,12.11002502324094,,9.042896501485943,,1,0,0,0
22,97,GALEXASC J234535.72-021211.7,356.3683333333333,-2.199444444444444,6609.0,731.9570906326062,2.8519586588182944,0.6918309291408585,17.105864072572718,,9.042896501485943,,1,0,0,0
23,97,WISEA J234603.39-021824.5,356.51416666666665,-2.3066666666666666,6609.0,492.1103358151527,1.917432526145793,0.3235936498237826,8.001014056291648,,9.042896501485943,,1,0,0,0
24,97,WISEA J234731.08-023340.4,356.87932,-2.56123,6609.0,352.5483190180966,1.3736505103140884,,,,9.042896501485943,,1,0,0,0
25,97,WISEA J234750.99-023053.6,356.96208333333334,-2.515,6609.0,329.30105698287394,1.2830711155604013,0.37153522297822067,9.186393314810093,,9.042896501485943,,1,0,0,0
26,97,HCG 097,356.84559,-2.32599,6535.0,0.0,0.0,,,8.721826262432831,,,0,1,0,1
27,97,NSA 152649,356.85417,-2.32653,5837.0,12.74340193323992,0.04965271318690931,,,8.721826262432831,,,0,1,0,1
28,97,IC 5351,356.82887,-2.3135,6327.5,30.94504234459358,0.1205726163345005,0.18108333333333335,4.477375548466842,8.722607379131803,8.42004747935373,-0.30255989977807296,0,1,0,1
29,97,IC 5357,356.84579,-2.30067,6932.0,37.56414605849951,0.1463629398276102,1.66,41.04432624273331,8.721826262432831,10.075082404713239,1.353256142280408,0,1,0,1
