ID,RAobj,DECobj,Depth,R25(arcsec),R25slope(arcsec/mag),petroMag,petroMag_err,b/a,theta,petroflux,petroflux_err,petroSMA,petroSMAErr,petroSMA50,petroSMA50Err,petroSMA90,petroSMA90Err
WJ234603,356.5138938549551,-2.3067428592244976,26.885169619032965,11.735418663084513,2.8405086406999907,16.36071965719878,0.004595157597024031,0.9633787087391951,-32.46725955848592,285.56970777261716,1.208615689889058,10.70815772872147,-0.0997831471614033,5.445690848385046,0.01829500990347607,12.045108556831423,0.16609857152286842
NSA152646,356.84899384268937,-2.169202827804816,26.458367384494316,12.62281025426361,3.856641122794809,16.46267852939741,0.0044479441791718,0.747076129614999,43.72443091877979,259.97320497830594,1.0650343046094641,10.757954032835457,-0.11205702229967845,4.976690275682993,0.017306265056797058,11.273873802754473,0.1429009253280379
UM177,356.58208384087385,-2.1551928528387774,26.887270441614664,11.646465112855717,2.186323862835708,16.274427643291432,0.003768897937420275,0.889694341142296,-50.78768707497191,309.1924942153151,1.073294736425898,9.49782132163417,-0.07722277002623543,4.769702389696672,0.012574542467505428,9.765110972700258,0.08998751128679529
WJ234840,357.1692038615025,-2.362332797690865,26.937083175823183,24.20196443331003,3.4938223371361583,14.418949235848688,0.001088028161937031,0.7136913042457205,60.65019327138764,1707.7343169383134,1.711339293828842,18.810760630978763,-0.030337799390538166,9.629587164588834,0.00747191518107789,18.416258671211356,0.04277988320849301
WJ234737,356.9055138651055,-2.4062828224958572,27.08318443464344,13.134065025357916,2.3464822521732307,17.097590221710185,0.007684177939106838,0.5108973438066695,-45.061143402302896,144.86514695665704,1.0252670598175329,13.126018170478238,-0.12423922473677161,6.33735743899724,0.03385100931050094,12.361185518742108,0.17477667229852578
WJ234528,356.3682038446099,-2.1993928728542684,27.4074523914864,26.878061137312017,5.26534869856512,15.206801288174525,0.002054145017509312,0.37203867846926214,-75.80296596781652,826.5697069541447,1.563818207151184,22.002783170645706,-0.09577071952629938,9.898929113516068,0.021950007107474585,23.016907537054742,0.11703557489297511
GALEXASCJ234535,356.39863384504497,-2.2034128700090254,27.126111059453233,20.5596901651222,3.526538087259305,16.524945014026606,0.005522240408946788,0.28443495355697107,23.348861384904126,245.48332349961242,1.248570253816035,19.244124522686388,-0.22205140410117052,9.202573219250532,0.03889258106683573,19.546619371561963,0.24472840489096837
WJ234731,356.8793138796335,-2.5612328249571585,26.953516161396923,9.114143914744375,2.203301594760428,16.975965900482063,0.003896372357243587,0.7265572367096748,-10.190254177073282,162.03679325394532,0.5815000727839912,7.304333359115435,-0.05685375453586073,3.783719858158992,0.011258054506811093,8.095980341440278,0.08311276540514906
NSA152613,356.7035138648579,-2.408112841457312,26.489947443403665,11.50910337000225,2.6336749212622594,16.69823423728144,0.005337161157558914,0.808842415549407,-80.17243850236608,209.2696775275286,1.0287084371508264,11.00207514688274,-0.07426788667239724,5.429813560636936,0.02224797505596429,10.538101273125319,0.11271781950261307
HCG97A,356.8458264182419,-2.3005608333328644,25.924808607114766,100.55061637315602,34.375255338786495,11.473274385230873,0.0005251697256486483,0.67289088090689,55.720153065473504,25744.842893186185,12.45275972177247,134.29723689037536,-0.1112175642980502,41.54084588617156,0.04187169974110764,131.77895594559155,0.15118083344606903
WJ234741,356.9245738737798,-2.4980028207048637,26.659168523165967,9.118915485128408,1.2550456869354722,17.079518913318054,0.005427053251498308,0.8518647605244336,-39.518348781718544,147.2965024547882,0.7362616803956231,8.187205939175252,-0.07274479849233086,3.8956077285581503,0.016462103452103412,8.053092753711915,0.08577493944210801
WJ234701,356.75623385884995,-2.3430228365119343,27.817705212657977,17.56517052645273,3.8578141000536568,15.761092394395064,0.0027602582522772106,0.6446788734833575,60.886785955856794,496.09293508278785,1.2612130017933205,14.611584282084236,-0.053180500019870715,10.216429816085018,0.003128804100968783,16.029973387785255,0.1143436354279566
LEDA1092309,356.75409386691916,-2.4289228367127076,27.31762921264086,14.631971042676449,1.3032520777774521,15.81120609526294,0.0024217346641087554,0.6534082877565844,79.4120033070704,473.71546377824484,1.0566223678722189,12.673749369746139,-0.04112914876929859,6.111347766200072,0.011556858973714078,11.97522650699459,0.047994531838768895
WJ234718,356.82794382630766,-1.9953728297814013,25.181618524906845,21.262118973437087,7.423535695639994,14.342739840379377,0.00034088912353380784,0.9420936191322333,21.632618274128916,1831.9097067055588,0.5751655803455946,4.3490464601161545,-0.007121693701986228,1.9378672838270379,0.0007618416437227956,5.94936532351436,0.006320164089144103
HCG97B,356.9077438566763,-2.3166728222863364,27.731260921431797,51.28550917994867,13.94019731195478,13.715935346683905,0.000565405748771664,0.22656635866092956,50.14983934564685,3263.0660243904144,1.6992675391375034,31.245998470875964,-0.03650425649362846,15.052293334617472,0.007713481200711894,34.21428179288271,0.05423063522721262
WJ234606,356.5282738462676,-2.213792857878228,26.611482992927613,16.149829515366864,3.848788189886342,16.64067911262078,0.005684047136345782,0.46307899923174545,-47.31832881581529,220.6624089157932,1.1552120376941728,15.733623113332595,-0.13804511262186656,9.167428875947369,0.03755691636513849,16.183178849611394,0.2172908255404647
HCG97C,356.8491664195496,-2.3512136111106523,27.62552679093411,42.60070679724818,7.232950213552539,13.067346675413942,0.0003087140781069105,0.5798166267650866,-50.71084447595796,5930.090617243325,1.686139275792632,18.62009475508482,-0.023650521635101725,7.9915931707342605,0.00267729831939878,22.589111288063986,0.020616060465146017
HCG97D,356.8289064185723,-2.3134636111106412,26.80991957552989,77.31062623643622,24.396813571339916,13.285831371509083,0.0002020733218262695,0.8716028791937844,31.862604499086743,4849.170465776466,0.9025101860166667,6.387541412748409,-0.007818234822030251,3.002592586308236,0.0007579451990584619,9.48151056214877,0.00493612919738364
WJ234720,356.83457386193265,-2.3741128291588947,27.238079466499794,16.772763875168327,8.249043542668401,16.776551341303012,0.009394254761310304,0.4918872496305658,88.10472481632748,194.70605768529512,1.684680221079592,21.964457496951823,-0.3569767436462535,9.17533650416569,0.08525226146680662,20.32044801893959,0.21638944987418113
WJ234732,356.8849938621016,-2.374812824423641,26.582616366158604,7.101760309880468,1.1406499682181426,17.654726655984334,0.009760045492563131,0.9394389217841671,-81.30097815025242,86.71801688139423,0.7795372265179389,7.530713699815079,-0.17227331169222138,3.5601695054328575,0.03515663661231119,8.944711813273187,0.25344723800143315
