ID,RAobj,DECobj,Depth,R25(arcsec),R25slope(arcsec/mag),petroMag,petroMag_err,b/a,theta,petroflux,petroflux_err,petroSMA,petroSMAErr,petroSMA50,petroSMA50Err,petroSMA90,petroSMA90Err
GALEXASCJ234617,356.5705338152627,-1.8823328539206572,27.66515413612627,7.413814285339402,1.950604554704908,18.51093646485815,0.013886748076356266,0.5374859351298406,-20.14278853022225,39.411722302026995,0.5040825353940218,13.573611129043112,-0.33656745146178163,6.321816605391452,0.1028869095381602,16.604216517365586,0.9082224856152139
WJ234759,356.9996638812374,-2.575442813646113,28.19784625869817,15.230973107239725,2.243036228274068,14.779243142699574,0.00047964891586449974,0.9600402121639979,87.17803115243117,1225.470166218151,0.5413796040648458,11.226855989207724,-0.009934907294904281,4.672210932818315,0.0028002439169355236,11.231359885879316,0.011307378220874097
MCG_01_60_041,357.04708357829287,-2.4324708333328378,29.291039454879762,40.50414551823347,6.7356186388266615,13.043607556400742,0.00011047801846930671,0.5912550125272035,-50.24444438585382,6061.17715169062,0.6167491130678373,9.830977196104195,-0.009450851576018708,4.423931450982802,0.0006551612380647346,14.494452305353699,0.004292055327536889
WJ234603,356.5138938549551,-2.306742859224508,27.628209184695113,11.253668442376735,3.1451749763624397,16.612469587192027,0.0026178395680596872,0.9633787087391951,-32.46725955848592,226.47077439570538,0.5460480654730209,11.357248393830591,-0.060224429467568064,5.704377340222907,0.012022320335829133,12.109657286295425,0.08120680243859735
NSA152646,356.84899384268937,-2.1692028278048263,26.994631159649217,11.450143322028861,2.59613194024893,16.788785817741065,0.002512204798665432,0.747076129614999,43.72443091877979,192.52435314806954,0.4454678785868471,10.619818370704701,-0.05598419438083979,4.974304274326224,0.009770814899742322,10.942121743867283,0.06345371015860786
UM177,356.58208384087385,-2.1551928528387774,27.483894968116786,10.867613913275017,2.4652024031282784,16.43024154873551,0.0018048945522909697,0.889694341142296,-50.78768707497191,267.8572344196489,0.4452776476247736,8.965154683134063,-0.037484070546647784,4.706619031128195,0.005271180523153387,9.47796724294377,0.04201058061311151
WJ234840,357.1692038615025,-2.362332797690865,27.913161206372546,22.497294274711255,3.3349935012635883,14.888343604106757,0.0007041790991046993,0.7136913042457205,60.65019327138764,1108.3133343578347,0.7188220139418554,18.648254062808917,-0.020864375425601794,9.680971520100185,0.004632486560203525,18.23098679037515,0.026984159334538772
WJ234737,356.9055138651055,-2.4062828224958572,27.800319767259847,12.33412436207743,2.587980345378863,17.288775337026983,0.003758033127008114,0.5108973438066695,-45.061143402302896,121.47582722204102,0.42046141671479165,12.78344696952434,-0.0711122706441634,6.341259317902435,0.01674459578900291,12.602319884003444,0.09539701474219976
WJ234528,356.3682038446099,-2.1993928728542684,27.98594481585591,25.326309234916295,4.3123609933111,15.584947219835904,0.0013016644308057141,0.37203867846926214,-75.80296596781652,583.473467587701,0.6995130638081398,22.282593240288126,-0.05491843621759216,10.070769223153862,0.014298682072669378,22.770311331656576,0.06954095536020048
GALEXASCJ234535,356.39863384504497,-2.2034128700090143,27.612025318184696,18.991273544734593,3.6460654268298582,16.86155658250021,0.003403199430466784,0.28443495355697107,23.348861384904126,180.0434668665931,0.5643394972134617,19.611547808431354,-0.1428778834946599,9.373171731725657,0.024235137006964027,20.05729017620986,0.15109486889191548
WJ234731,356.8793138796335,-2.5612328249571585,27.5876889729249,8.253153828014504,1.7546167264792292,17.22226333717653,0.0021408078840316563,0.7265572367096746,-10.190254177073282,129.15007571864416,0.2546525565879529,6.9380550713997415,-0.031956989421182594,3.6496407107706723,0.005172210380585033,7.49815730735185,0.042901374042562467
NSA152613,356.7035138648579,-2.408112841457312,27.646320366866714,10.809434049739489,2.2570020614248083,16.987931491666867,0.0030528091064717516,0.808842415549407,-80.17243850236608,160.26083578852783,0.4506119780863175,10.946413565789834,-0.04659052848191614,5.38348173293835,0.01325831030720558,10.575382125575482,0.0687953844121573
HCG97A,356.8458264182419,-2.3005608333328644,26.6662569813462,93.36531177704165,12.824461902131967,12.100728048905744,0.0004118752397895205,0.6728908809068901,55.720153065473504,14444.708446968505,5.479616254125212,134.28140399668524,-0.08842517105040579,42.29709863435129,0.033577436733408836,131.78176630929087,0.11907927968726385
WJ234741,356.9245738737798,-2.4980028207048637,27.83607475007023,8.760070120304096,1.9408568948636613,17.341035585827967,0.003120341479562387,0.8518647605244338,-39.518348781718544,115.76726298945643,0.33270825003195026,8.522021083452401,-0.05626206651167832,4.07356801987041,0.010269060163015967,8.563920139976654,0.05921793639092084
WJ234701,356.75623385884995,-2.3430228365119343,28.44610640931123,16.114670307923475,4.803362707672732,16.44437623908372,0.002880748069665392,0.6446788734833575,60.886785955856794,264.3927270612466,0.7015045042961686,18.523166744507435,-0.10191390797924968,10.221988087333786,0.007063224694075561,19.586782682533048,0.15663176843681448
LEDA1092309,356.75409386691916,-2.428922836712718,27.66093399562655,13.911648909619101,1.3766474059533118,16.164723161514694,0.0014658948028339791,0.6534082877565845,79.4120033070704,342.06665075199095,0.4618375286397254,12.412460909607926,-0.024745864703678035,6.077473842821234,0.006695668353784164,11.641274973749525,0.02930232832856812
WJ234718,356.82794382630766,-1.9953728297814013,25.660538742551637,17.318148873711536,7.331282112914522,14.927919894339812,0.0002997006716823106,0.9420936191322334,21.632618274128916,1068.6415161048426,0.2949819475123532,4.48234700509235,-0.008762975081579515,2.0209247910534254,0.000715842167072852,6.350370424673483,0.0054693886838342145
HCG97B,356.9077438566763,-2.3166728222863155,27.79549063030324,45.219337019261,9.261137711905171,14.360799078060735,0.00046557475097004874,0.22656635866092956,50.14983934564685,1801.6912474971448,0.7725835706706169,32.67334811956496,-0.030685720920520035,16.098948917207718,0.006552357518817935,35.33191670286655,0.04650620778868508
WJ234606,356.5282738462676,-2.213792857878228,27.9540029447769,14.977507927768293,3.1013167057889683,16.86505665783715,0.002864366283574042,0.46307899923174545,-47.31832881581529,179.4639973261809,0.4734581206777112,15.458553184907137,-0.058434773963122,9.373289024977698,0.016677357123555517,15.957368062586314,0.11069893492720666
HCG97C,356.8491664195496,-2.351213611110642,28.565942476716476,36.69626168721263,10.445971488708416,13.656703197359299,0.00024502055618636,0.5798166267650866,-50.71084447595796,3446.0273585403866,0.7776728235852416,18.68085996614604,-0.021227801729802202,8.01070493100994,0.0021440867438736336,22.69024261938582,0.016498607323390906
